iter	Passed	Remaining
0	1	120
1	2	118
2	3	109
3	4	100
4	5	107
5	6	103
6	7	100
7	8	97
8	9	94
9	10	98
10	12	97
11	13	95
12	13	93
13	15	92
14	16	91
15	17	93
16	18	92
17	20	93
18	21	91
19	22	89
20	23	89
21	24	87
22	25	85
23	26	84
24	27	82
25	28	81
26	30	81
27	31	80
28	32	78
29	34	80
30	35	78
31	36	78
32	37	76
33	38	75
34	39	73
35	40	72
36	41	71
37	43	70
38	44	69
39	45	67
40	46	66
41	46	64
42	47	63
43	49	62
44	50	61
45	51	60
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	52
53	59	50
54	60	49
55	61	48
56	62	47
57	63	45
58	64	44
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	76	32
70	76	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	25
77	85	24
78	87	23
79	88	22
80	88	20
81	89	19
82	90	18
83	91	17
84	93	16
85	94	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	103	7
93	104	6
94	105	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
