iter	Passed	Remaining
0	144	144295
1	146	73290
2	149	49725
3	151	37716
4	153	30583
5	155	25774
6	157	22376
7	159	19776
8	160	17717
9	162	16116
10	164	14794
11	165	13654
12	167	12693
13	168	11883
14	170	11179
15	171	10539
16	172	9973
17	173	9464
18	174	9018
19	176	8640
20	177	8294
21	179	7964
22	180	7660
23	181	7388
24	182	7132
25	183	6891
26	184	6664
27	185	6449
28	186	6248
29	187	6060
30	188	5885
31	189	5725
32	190	5573
33	191	5432
34	192	5294
35	192	5162
36	193	5034
37	194	4918
38	195	4806
39	196	4705
40	196	4606
41	197	4510
42	198	4417
43	199	4325
44	199	4239
45	200	4157
46	201	4078
47	201	4001
48	202	3926
49	203	3857
50	203	3791
51	204	3726
52	205	3666
53	206	3610
54	206	3553
55	207	3496
56	207	3440
57	208	3389
58	209	3339
59	210	3290
60	210	3244
61	211	3200
62	212	3155
63	212	3111
64	213	3068
65	213	3027
66	214	2986
67	215	2947
68	215	2909
69	216	2872
70	216	2836
71	217	2801
72	217	2768
73	218	2735
74	219	2702
75	219	2672
76	220	2642
77	221	2616
78	221	2587
79	222	2560
80	223	2534
81	223	2506
82	224	2477
83	224	2452
84	225	2431
85	226	2407
86	227	2386
87	227	2362
88	228	2338
89	228	2315
90	229	2293
91	230	2271
92	230	2249
93	231	2228
94	231	2207
95	232	2187
96	232	2167
97	233	2148
98	233	2129
99	234	2110
100	235	2093
101	235	2077
102	236	2061
103	237	2043
104	237	2026
105	238	2009
106	238	1993
107	239	1978
108	240	1963
109	240	1948
110	241	1934
111	242	1920
112	242	1905
113	243	1891
114	243	1877
115	244	1863
116	245	1849
117	245	1836
118	246	1823
119	246	1810
120	247	1797
121	247	1783
122	249	1775
123	250	1766
124	250	1756
125	251	1745
126	252	1732
127	252	1721
128	253	1710
129	253	1699
130	254	1689
131	255	1678
132	256	1670
133	257	1663
134	258	1653
135	258	1642
136	259	1632
137	259	1621
138	260	1611
139	260	1602
140	261	1592
141	261	1581
142	262	1572
143	263	1565
144	264	1556
145	264	1547
146	265	1539
147	265	1531
148	266	1523
149	267	1515
150	268	1507
151	268	1498
152	269	1490
153	269	1483
154	270	1475
155	271	1468
156	272	1462
157	272	1454
158	273	1446
159	274	1438
160	274	1429
161	274	1422
162	275	1414
163	275	1406
164	276	1399
165	276	1391
166	277	1383
167	279	1382
168	279	1376
169	280	1369
170	281	1363
171	281	1356
172	282	1350
173	283	1343
174	283	1336
175	284	1330
176	284	1324
177	285	1317
178	286	1312
179	286	1307
180	287	1301
181	288	1294
182	288	1288
183	289	1281
184	289	1275
185	290	1269
186	290	1263
187	291	1257
188	291	1251
189	292	1246
190	293	1243
191	294	1237
192	294	1232
193	295	1227
194	296	1222
195	296	1217
196	297	1212
197	298	1207
198	298	1201
199	299	1196
200	299	1192
201	300	1188
202	301	1183
203	302	1179
204	302	1174
205	303	1169
206	303	1164
207	304	1159
208	304	1154
209	305	1148
210	305	1144
211	306	1139
212	307	1136
213	308	1133
214	309	1128
215	309	1124
216	310	1119
217	310	1114
218	311	1112
219	312	1108
220	313	1104
221	313	1100
222	314	1096
223	315	1092
224	316	1089
225	316	1085
226	317	1081
227	318	1077
228	318	1073
229	319	1069
230	319	1065
231	320	1061
232	321	1056
233	321	1052
234	322	1049
235	322	1045
236	323	1041
237	324	1037
238	324	1033
239	325	1029
240	325	1026
241	326	1022
242	327	1019
243	327	1015
244	328	1012
245	329	1008
246	330	1006
247	330	1003
248	331	999
249	331	995
250	332	992
251	333	988
252	333	984
253	334	981
254	334	977
255	335	973
256	335	970
257	336	967
258	336	964
259	337	961
260	338	958
261	338	954
262	339	951
263	340	948
264	340	945
265	341	942
266	342	939
267	342	936
268	343	932
269	343	930
270	344	926
271	345	923
272	345	920
273	346	918
274	347	915
275	347	912
276	348	910
277	349	906
278	349	903
279	350	900
280	351	898
281	352	896
282	352	893
283	353	890
284	353	887
285	354	884
286	354	881
287	355	878
288	355	875
289	356	872
290	357	870
291	357	867
292	358	864
293	359	862
294	359	859
295	360	856
296	360	854
297	361	851
298	362	849
299	362	846
300	363	844
301	364	841
302	364	838
303	365	837
304	366	834
305	366	832
306	367	829
307	367	826
308	368	824
309	369	821
310	369	819
311	370	816
312	370	814
313	371	811
314	372	810
315	373	808
